"name","reading","longitude","latitude","geom"
"new_new_emote_2906","CO||Humidity||NO||NO2||Sound||Temperature",-1.62087895920459,55.0125070615751,"0101000020E61000008FEE88C61EEFF9BF8F37D6D499814B40"
"new_new_emote_1904","CO||Humidity||NO||NO2||Sound||Temperature",-1.6225219524328,54.972397607978,"0101000020E6100000DDDA2B94D9F5F9BFB27C5A86777C4B40"
"new_new_emote_1173","CO||Humidity||NO||NO2||Sound||Temperature",-1.637417,54.978694,"0101000020E610000083A10E2BDC32FABF4D6551D8457D4B40"
"new_new_emote_1702","CO||Humidity||NO||NO2||Sound||Temperature",-1.62300631567018,54.970718677298,"0101000020E6100000F1137078D5F7F9BF3E4E7682407C4B40"
"new_new_emote_1174","CO||Humidity||NO||NO2||Sound||Temperature",-1.467674,55.002478,"0101000020E6100000350873BB977BF7BFD17AF83251804B40"
"new_new_emote_1172","CO||Humidity||NO||NO2||Sound||Temperature",-1.640834,54.977566,"0101000020E610000048A30227DB40FABF3DD7F7E1207D4B40"
"new_new_emote_1171","CO||Humidity||NO||NO2||Sound||Temperature",-1.649426,54.979519,"0101000020E6100000E8C072840C64FABFC367EBE0607D4B40"
"new_new_emote_1704","CO||Humidity||NO||NO2||Sound||Temperature",-1.62235913483199,54.9714355724026,"0101000020E61000001A8627DA2EF5F9BFF8D13600587C4B40"
"new_new_emote_1111","CO||Humidity||NO||NO2||Sound||Temperature",0,0,"0101000020E610000000000000000000000000000000000000"
"new_new_emote_1114","CO||Humidity||NO||NO2||Sound||Temperature",0,0,"0101000020E610000000000000000000000000000000000000"
"new_new_emote_2762","CO||Humidity||NO||NO2||Sound||Temperature",-1.61970160666838,55.0063747940032,"0101000020E6100000BAB55E3B4CEAF9BF9AE1A5E3D0804B40"
"new_new_emote_902","CO||Humidity||NO||NO2||Sound||Temperature",-1.62235636990332,54.96839820475,"0101000020E6100000A012F3F32BF5F9BF0174ED78F47B4B40"
"new_new_emote_2764","CO||Humidity||NO||NO2||Sound||Temperature",-1.61959862288174,55.0073449836209,"0101000020E610000088C7DE3EE0E9F9BF873830AEF0804B40"
"new_new_emote_2765","CO||Humidity||NO||NO2||Sound||Temperature",-1.61979626858896,55.0079386910567,"0101000020E6100000D25BFC7DAFEAF9BF163B912204814B40"
"new_new_emote_1110","CO||Humidity||NO||NO2||Sound||Temperature",-1.62896159977915,54.9720130271509,"0101000020E61000004ADCD7093A10FABF167341EC6A7C4B40"
"new_new_emote_2501","CO||Humidity||NO||NO2||Sound||Temperature",-1.62029302818885,55.0033482840658,"0101000020E61000007420E061B8ECF9BFBD4771B76D804B40"
"new_new_emote_1112","CO||Humidity||NO||NO2||Sound||Temperature",-1.62674324841646,54.9720242170129,"0101000020E6100000F1FFAEED2307FABFC07E1F4A6B7C4B40"
"new_new_emote_2503","CO||Humidity||NO||NO2||Sound||Temperature",-1.62037741507052,55.0043460175996,"0101000020E61000006D7A4EDE10EDF9BF9EBA09698E804B40"
"new_new_emote_2752","CO||Humidity||NO2||Sound||Temperature",0,0,"0101000020E610000000000000000000000000000000000000"
"new_new_emote_2754","CO||Humidity||NO2||Sound||Temperature",0,0,"0101000020E610000000000000000000000000000000000000"
"new_new_emote_903","CO||Humidity||NO||NO2||Sound||Temperature",-1.62107573121521,54.9683762518238,"0101000020E61000009A891E1BEDEFF9BF35E7C5C0F37B4B40"
"new_new_emote_1907","CO||Humidity||NO||NO2||Sound||Temperature",-1.62212923147383,54.9726300322915,"0101000020E61000002F0DF1C73DF4F9BF4EE611247F7C4B40"
"new_new_emote_1703","CO||Humidity||NO||NO2||Sound||Temperature",-1.62279634858507,54.9714549007002,"0101000020E610000075DBD34DF9F6F9BFF3055AA2587C4B40"
